Config,RMSE_TOp,R2_TOp,RMSE_TAtr,R2_TAtr,Treino,Inferencia
XGBoost,19.10,0.725,20.96,0.728,182 s,3 ms/200
MLP,20.57,0.681,23.09,0.670,71 s,1 ms/200
KNN,22.17,0.629,23.12,0.669,0.1 s,512 ms/200
Linear Reg.,25.15,0.523,27.72,0.525,1.1 s,0 ms/200
SVM,26.30,0.478,28.68,0.491,8.3 s,0 ms/200
Encoder base,36.53,-0.007,40.30,-0.005,0 s,1.4 s/200
Encoder FT-100,35.16,0.066,39.16,0.050,33 s,870 ms/200
Encoder FT-500,33.77,0.138,37.75,0.117,80 s,892 ms/200
Encoder FT-1500,30.89,0.279,34.03,0.283,143 s,928 ms/200
Encoder FT-3000,29.39,0.348,32.86,0.331,191 s,938 ms/200
Encoder FT-6000,28.57,0.384,31.23,0.396,287 s,912 ms/200
Encoder FT-12000,27.87,0.414,30.37,0.429,380 s,900 ms/200
Gen-LLM base,217.02,-34.536,217.73,-28.329,0 s,-
Gen-LLM FT-100,38.31,-0.115,49.29,-0.636,155 s,19.1 s/200
Gen-LLM FT-500,36.40,-0.005,41.05,-0.048,969 s,38.2 s/200
Gen-LLM FT-1500,36.15,0.009,40.11,0.001,658 s,22.5 s/200
Qwen3-32B 0-shot,36.48,-0.004,40.39,-0.009,0,0.58 s/caso
Qwen3-32B 5-shot,36.55,-0.013,41.20,-0.059,0,0.71 s/caso
Qwen3-32B 20-shot,36.25,0.003,41.50,-0.079,0,1.65 s/caso
DeepSeek-V3 0-shot,36.45,-0.002,42.03,-0.093,0,0.66 s/caso
DeepSeek-V3 5-shot,44.23,-0.732,44.69,-0.313,0,1.01 s/caso
DeepSeek-V3 20-shot,38.18,-0.128,43.34,-0.214,0,1.98 s/caso
