metric,target,model,N,value
r2,TOperacao,XGBoost,100,0.1217
r2,TOperacao,XGBoost,500,0.2667
r2,TOperacao,XGBoost,1500,0.416
r2,TOperacao,XGBoost,3000,0.5137
r2,TOperacao,XGBoost,6000,0.5534
r2,TOperacao,MLP,100,-2.0995
r2,TOperacao,MLP,500,-5.4103
r2,TOperacao,MLP,1500,0.2335
r2,TOperacao,MLP,3000,0.3693
r2,TOperacao,MLP,6000,0.4465
r2,TOperacao,Linear(ridge),100,-3.7833
r2,TOperacao,Linear(ridge),500,0.2133
r2,TOperacao,Linear(ridge),1500,0.3124
r2,TOperacao,Linear(ridge),3000,0.398
r2,TOperacao,Linear(ridge),6000,0.4611
r2,TOperacao,KNN,100,0.0636
r2,TOperacao,KNN,500,0.1868
r2,TOperacao,KNN,1500,0.2625
r2,TOperacao,KNN,3000,0.3073
r2,TOperacao,KNN,6000,0.3751
r2,TOperacao,SVM,100,-0.2202
r2,TOperacao,SVM,500,-0.0242
r2,TOperacao,SVM,1500,0.169
r2,TOperacao,SVM,3000,0.2847
r2,TOperacao,SVM,6000,0.374
r2,TOperacao,Encoder,100,0.0664
r2,TOperacao,Encoder,500,0.1384
r2,TOperacao,Encoder,1500,0.2793
r2,TOperacao,Encoder,3000,0.3476
r2,TOperacao,Encoder,6000,0.3836
r2,TOperacao,Decoder(LLM),100,-0.1151
r2,TOperacao,Decoder(LLM),500,-0.0047
r2,TOperacao,Decoder(LLM),1500,0.0089
r2,TOperacao,Decoder(LLM),3000,-0.0123
r2,TOperacao,Decoder(LLM),6000,0.0969
r2,TAtracado,XGBoost,100,0.0858
r2,TAtracado,XGBoost,500,0.1699
r2,TAtracado,XGBoost,1500,0.348
r2,TAtracado,XGBoost,3000,0.3476
r2,TAtracado,XGBoost,6000,0.4953
r2,TAtracado,MLP,100,-0.3331
r2,TAtracado,MLP,500,-9.1697
r2,TAtracado,MLP,1500,0.2231
r2,TAtracado,MLP,3000,0.3383
r2,TAtracado,MLP,6000,0.4265
r2,TAtracado,Linear(ridge),100,-0.8093
r2,TAtracado,Linear(ridge),500,0.1552
r2,TAtracado,Linear(ridge),1500,0.3102
r2,TAtracado,Linear(ridge),3000,0.3827
r2,TAtracado,Linear(ridge),6000,0.4539
r2,TAtracado,KNN,100,-0.0096
r2,TAtracado,KNN,500,0.1328
r2,TAtracado,KNN,1500,0.2131
r2,TAtracado,KNN,3000,0.2607
r2,TAtracado,KNN,6000,0.3343
r2,TAtracado,SVM,100,-0.4324
r2,TAtracado,SVM,500,-0.193
r2,TAtracado,SVM,1500,0.0686
r2,TAtracado,SVM,3000,0.22
r2,TAtracado,SVM,6000,0.3401
r2,TAtracado,Encoder,100,0.0501
r2,TAtracado,Encoder,500,0.1171
r2,TAtracado,Encoder,1500,0.2829
r2,TAtracado,Encoder,3000,0.3313
r2,TAtracado,Encoder,6000,0.3962
r2,TAtracado,Decoder(LLM),100,-0.636
r2,TAtracado,Decoder(LLM),500,-0.0481
r2,TAtracado,Decoder(LLM),1500,0.001
r2,TAtracado,Decoder(LLM),3000,-0.0273
r2,TAtracado,Decoder(LLM),6000,0.1134
rmse,TOperacao,XGBoost,100,34.0897
rmse,TOperacao,XGBoost,500,31.138
rmse,TOperacao,XGBoost,1500,27.7128
rmse,TOperacao,XGBoost,3000,25.3376
rmse,TOperacao,XGBoost,6000,24.2726
rmse,TOperacao,MLP,100,51.1202
rmse,TOperacao,MLP,500,54.6595
rmse,TOperacao,MLP,1500,31.8199
rmse,TOperacao,MLP,3000,28.7115
rmse,TOperacao,MLP,6000,26.9167
rmse,TOperacao,Linear(ridge),100,52.5644
rmse,TOperacao,Linear(ridge),500,32.1909
rmse,TOperacao,Linear(ridge),1500,30.1266
rmse,TOperacao,Linear(ridge),3000,28.2083
rmse,TOperacao,Linear(ridge),6000,26.7055
rmse,TOperacao,KNN,100,35.2188
rmse,TOperacao,KNN,500,32.8185
rmse,TOperacao,KNN,1500,31.2521
rmse,TOperacao,KNN,3000,30.2876
rmse,TOperacao,KNN,6000,28.7501
rmse,TOperacao,SVM,100,40.213
rmse,TOperacao,SVM,500,36.8388
rmse,TOperacao,SVM,1500,33.1835
rmse,TOperacao,SVM,3000,30.7847
rmse,TOperacao,SVM,6000,28.799
rmse,TOperacao,Encoder,100,35.1577
rmse,TOperacao,Encoder,500,33.767
rmse,TOperacao,Encoder,1500,30.8909
rmse,TOperacao,Encoder,3000,29.391
rmse,TOperacao,Encoder,6000,28.5674
rmse,TOperacao,Decoder(LLM),100,38.3091
rmse,TOperacao,Decoder(LLM),500,36.4044
rmse,TOperacao,Decoder(LLM),1500,36.1496
rmse,TOperacao,Decoder(LLM),3000,36.5778
rmse,TOperacao,Decoder(LLM),6000,34.5185
rmse,TAtracado,XGBoost,100,38.3764
rmse,TAtracado,XGBoost,500,36.4822
rmse,TAtracado,XGBoost,1500,32.2914
rmse,TAtracado,XGBoost,3000,31.6291
rmse,TAtracado,XGBoost,6000,28.3885
rmse,TAtracado,MLP,100,45.8584
rmse,TAtracado,MLP,500,68.5924
rmse,TAtracado,MLP,1500,35.3275
rmse,TAtracado,MLP,3000,32.6037
rmse,TAtracado,MLP,6000,30.389
rmse,TAtracado,Linear(ridge),100,46.0093
rmse,TAtracado,Linear(ridge),500,36.8519
rmse,TAtracado,Linear(ridge),1500,33.3513
rmse,TAtracado,Linear(ridge),3000,31.5507
rmse,TAtracado,Linear(ridge),6000,29.6858
rmse,TAtracado,KNN,100,40.3105
rmse,TAtracado,KNN,500,37.4029
rmse,TAtracado,KNN,1500,35.6192
rmse,TAtracado,KNN,3000,34.5299
rmse,TAtracado,KNN,6000,32.7557
rmse,TAtracado,SVM,100,48.1169
rmse,TAtracado,SVM,500,43.9066
rmse,TAtracado,SVM,1500,38.797
rmse,TAtracado,SVM,3000,35.5031
rmse,TAtracado,SVM,6000,32.6548
rmse,TAtracado,Encoder,100,39.1568
rmse,TAtracado,Encoder,500,37.7497
rmse,TAtracado,Encoder,1500,34.0321
rmse,TAtracado,Encoder,3000,32.8583
rmse,TAtracado,Encoder,6000,31.2266
rmse,TAtracado,Decoder(LLM),100,49.2862
rmse,TAtracado,Decoder(LLM),500,41.0538
rmse,TAtracado,Decoder(LLM),1500,40.1116
rmse,TAtracado,Decoder(LLM),3000,40.6395
rmse,TAtracado,Decoder(LLM),6000,37.7979
