model,strategy,target,seed,rmse,r2,mae
encoder_minilm,base,TOperacao,42,36.52811272271198,-0.006751954893058354,19.743694024085997
encoder_minilm,base,TOperacao,137,36.52811272271198,-0.006751954893058354,19.743694024085997
encoder_minilm,base,TOperacao,256,36.52811272271198,-0.006751954893058354,19.743694024085997
encoder_minilm,base,TOperacao,512,36.52811272271198,-0.006751954893058354,19.743694024085997
encoder_minilm,base,TOperacao,1024,36.52811272271198,-0.006751954893058354,19.743694024085997
encoder_minilm,base,TOperacao,2048,36.52811272271198,-0.006751954893058354,19.743694024085997
encoder_minilm,base,TOperacao,3141,36.52811272271198,-0.006751954893058354,19.743694024085997
encoder_minilm,base,TOperacao,4096,36.52811272271198,-0.006751954893058354,19.743694024085997
encoder_minilm,base,TOperacao,5000,36.52811272271198,-0.006751954893058354,19.743694024085997
encoder_minilm,base,TOperacao,6273,36.52811272271198,-0.006751954893058354,19.743694024085997
encoder_minilm,base,TOperacao,7777,36.52811272271198,-0.006751954893058354,19.743694024085997
encoder_minilm,base,TOperacao,8192,36.52811272271198,-0.006751954893058354,19.743694024085997
encoder_minilm,base,TOperacao,9001,36.52811272271198,-0.006751954893058354,19.743694024085997
encoder_minilm,base,TOperacao,10240,36.52811272271198,-0.006751954893058354,19.743694024085997
encoder_minilm,base,TOperacao,11111,36.52811272271198,-0.006751954893058354,19.743694024085997
encoder_minilm,base,TOperacao,12345,36.52811272271198,-0.006751954893058354,19.743694024085997
encoder_minilm,base,TOperacao,13579,36.52811272271198,-0.006751954893058354,19.743694024085997
encoder_minilm,base,TOperacao,14641,36.52811272271198,-0.006751954893058354,19.743694024085997
encoder_minilm,base,TOperacao,15360,36.52811272271198,-0.006751954893058354,19.743694024085997
encoder_minilm,base,TOperacao,16384,36.52811272271198,-0.006751954893058354,19.743694024085997
encoder_minilm,base,TAtracado,42,40.29842252838238,-0.004687696249731976,24.692244995236397
encoder_minilm,base,TAtracado,137,40.29842252838238,-0.004687696249731976,24.692244995236397
encoder_minilm,base,TAtracado,256,40.29842252838238,-0.004687696249731976,24.692244995236397
encoder_minilm,base,TAtracado,512,40.29842252838238,-0.004687696249731976,24.692244995236397
