model,strategy,target,seed,rmse,r2,mae
qwen3_32b,few_shot,TOperacao,42,35.431123351555264,0.052808284759521484,14.01803207397461
qwen3_32b,few_shot,TOperacao,137,37.730940902224894,-0.07414603233337402,17.142900466918945
qwen3_32b,few_shot,TOperacao,256,35.021829827310924,0.07456552982330322,19.012065887451172
qwen3_32b,few_shot,TOperacao,512,38.15245873363701,-0.09828007221221924,18.846567153930664
qwen3_32b,few_shot,TOperacao,1024,36.46059684193763,-0.003033876419067383,17.45965003967285
qwen3_32b,few_shot,TOperacao,2048,35.41245187849713,0.0538063645362854,15.949084281921387
qwen3_32b,few_shot,TOperacao,3141,37.24880057842467,-0.046869635581970215,15.936349868774414
qwen3_32b,few_shot,TOperacao,4096,34.67592008287235,0.09275621175765991,16.42259979248047
qwen3_32b,few_shot,TOperacao,5000,36.46022186328976,-0.0030132532119750977,16.421632766723633
qwen3_32b,few_shot,TOperacao,6273,44.589383655368295,-0.500137209892273,21.029966354370117
qwen3_32b,few_shot,TOperacao,7777,32.52260707113015,0.2019340991973877,16.181032180786133
qwen3_32b,few_shot,TOperacao,8192,33.32066694565289,0.1622866988182068,15.021200180053711
qwen3_32b,few_shot,TOperacao,9001,37.31017384394805,-0.05032229423522949,16.336084365844727
qwen3_32b,few_shot,TOperacao,10240,36.314284998081334,0.005000054836273193,15.537349700927734
qwen3_32b,few_shot,TOperacao,11111,38.33138617393878,-0.10860562324523926,16.710535049438477
qwen3_32b,few_shot,TOperacao,12345,41.37223248863602,-0.2914748191833496,21.076982498168945
qwen3_32b,few_shot,TOperacao,13579,35.36424064788558,0.05638092756271362,15.093033790588379
qwen3_32b,few_shot,TOperacao,14641,35.175775827664765,0.06641167402267456,15.242349624633789
qwen3_32b,few_shot,TOperacao,15360,36.27367727548363,0.007224142551422119,20.522432327270508
qwen3_32b,few_shot,TOperacao,16384,33.89120129754366,0.13335353136062622,15.874198913574219
qwen3_32b,few_shot,TAtracado,42,40.19573083480073,0.00042629241943359375,19.938499450683594
qwen3_32b,few_shot,TAtracado,137,42.57125804717016,-0.12121260166168213,22.544532775878906
qwen3_32b,few_shot,TAtracado,256,40.41974892939867,-0.010746359825134277,23.773916244506836
qwen3_32b,few_shot,TAtracado,512,50.04234778930366,-0.5492814779281616,32.97908020019531
qwen3_32b,few_shot,TAtracado,1024,39.459963825594,0.03668493032455444,20.975248336791992
qwen3_32b,few_shot,TAtracado,2048,38.77799517969244,0.06969428062438965,19.20763397216797
qwen3_32b,few_shot,TAtracado,3141,43.07672513140797,-0.14799582958221436,21.75933265686035
qwen3_32b,few_shot,TAtracado,4096,37.274823615758905,0.14042025804519653,19.34418487548828
qwen3_32b,few_shot,TAtracado,5000,38.402475467999615,0.08762490749359131,19.867002487182617
qwen3_32b,few_shot,TAtracado,6273,42.13270457639617,-0.09823095798492432,26.780567169189453
qwen3_32b,few_shot,TAtracado,7777,40.0489019922051,0.0077155232429504395,24.004199981689453
qwen3_32b,few_shot,TAtracado,8192,38.3776305847153,0.08880507946014404,19.11953353881836
qwen3_32b,few_shot,TAtracado,9001,41.89307999380312,-0.08577430248260498,21.540952682495117
qwen3_32b,few_shot,TAtracado,10240,52.22860703271843,-0.6876091957092285,29.35590362548828
qwen3_32b,few_shot,TAtracado,11111,41.77723545597231,-0.07977771759033203,20.566566467285156
qwen3_32b,few_shot,TAtracado,12345,43.20518332574157,-0.15485286712646484,25.44231605529785
qwen3_32b,few_shot,TAtracado,13579,38.36366924792338,0.08946794271469116,19.326398849487305
qwen3_32b,few_shot,TAtracado,14641,39.15734111608256,0.051403820514678955,19.58384895324707
qwen3_32b,few_shot,TAtracado,15360,38.197699001175124,0.09732919931411743,22.600017547607422
qwen3_32b,few_shot,TAtracado,16384,38.310381135331646,0.09199565649032593,19.472064971923828
deepseek_v3,few_shot,TOperacao,42,37.72418826009133,-0.07376158237457275,15.6343994140625
deepseek_v3,few_shot,TOperacao,137,37.829372204243455,-0.0797576904296875,18.687850952148438
deepseek_v3,few_shot,TOperacao,256,92.99107400041146,-5.524549961090088,27.06624984741211
deepseek_v3,few_shot,TOperacao,512,58.06682656781108,-1.544041633605957,33.07761764526367
deepseek_v3,few_shot,TOperacao,1024,33.52200369078962,0.1521325707435608,15.458166122436523
deepseek_v3,few_shot,TOperacao,2048,35.4261996973991,0.053071558475494385,15.376184463500977
deepseek_v3,few_shot,TOperacao,3141,35.349753924731395,0.05715382099151611,14.932150840759277
deepseek_v3,few_shot,TOperacao,4096,36.9196515279507,-0.02845001220703125,19.383033752441406
deepseek_v3,few_shot,TOperacao,5000,35.7872999115739,0.03366905450820923,15.356767654418945
deepseek_v3,few_shot,TOperacao,6273,100.79895677783576,-6.666199684143066,32.61201477050781
deepseek_v3,few_shot,TOperacao,7777,40.44387054967739,-0.23416566848754883,18.004833221435547
