model,strategy,target,seed,rmse,r2,mae
qwen3_32b,few_shot_20,TOperacao,42,36.82035128921527,-0.022925177549681486,15.265233380937575
qwen3_32b,few_shot_20,TOperacao,137,35.09599456757873,0.07064182986568956,14.027016762828827
qwen3_32b,few_shot_20,TOperacao,256,34.854251686836086,0.08340066288687709,14.382233406448366
qwen3_32b,few_shot_20,TOperacao,512,35.56271179145912,0.045759701664001895,14.575516711807252
qwen3_32b,few_shot_20,TOperacao,1024,35.16362011699068,0.06705686764681906,15.47428342075348
qwen3_32b,few_shot_20,TOperacao,2048,34.37476803505914,0.10844617978582971,16.47503338999748
qwen3_32b,few_shot_20,TOperacao,3141,46.783791073688356,-0.651424927775412,25.09820007462502
qwen3_32b,few_shot_20,TOperacao,4096,36.16677076028794,0.013067433868949263,15.179433376407623
qwen3_32b,few_shot_20,TOperacao,5000,36.46210766459784,-0.0031169089384066595,17.035233384275436
qwen3_32b,few_shot_20,TOperacao,6273,37.21755414634753,-0.04511401254249803,17.733783399295806
qwen3_32b,few_shot_20,TOperacao,7777,35.969411099850994,0.023809295497772998,16.05145006365776
qwen3_32b,few_shot_20,TOperacao,8192,38.41772117471621,-0.11360510547618441,16.973650066280367
qwen3_32b,few_shot_20,TOperacao,9001,33.20485761644548,0.16809974481956702,13.47176676235199
qwen3_32b,few_shot_20,TOperacao,10240,37.73793375948513,-0.07454411149019347,15.87925006699562
qwen3_32b,few_shot_20,TOperacao,11111,34.18183439618014,0.11842605830491981,13.264166726350783
qwen3_32b,few_shot_20,TOperacao,12345,36.11350103031121,0.015972582024053605,14.954083389520644
qwen3_32b,few_shot_20,TOperacao,13579,35.72660818729187,0.03694389843090251,16.47470007224083
qwen3_32b,few_shot_20,TOperacao,14641,33.1888357737978,0.1689023598780114,13.989450029087065
qwen3_32b,few_shot_20,TOperacao,15360,37.23645689000072,-0.046175906029146674,16.277266728019715
qwen3_32b,few_shot_20,TOperacao,16384,34.72116703891452,0.09038703641573487,16.23375008201599
qwen3_32b,few_shot_20,TAtracado,42,42.46904908813869,-0.11583522033000682,21.001633148121837
qwen3_32b,few_shot_20,TAtracado,137,38.48798874426252,0.08355706970618126,18.54498318293095
qwen3_32b,few_shot_20,TAtracado,256,37.59379294181282,0.1256460392140607,18.823049844670294
qwen3_32b,few_shot_20,TAtracado,512,39.08684390631469,0.05481635019135245,18.681583158135414
qwen3_32b,few_shot_20,TAtracado,1024,39.492688118024695,0.035086500081255245,20.219716524529456
qwen3_32b,few_shot_20,TAtracado,2048,42.23361061188004,-0.10349765465588745,25.94178318459987
qwen3_32b,few_shot_20,TAtracado,3141,59.29521579207224,-1.1751754820543758,39.07918323299885
qwen3_32b,few_shot_20,TAtracado,4096,40.258788363441376,-0.00271241416290513,20.223599814629555
qwen3_32b,few_shot_20,TAtracado,5000,41.10389625827133,-0.04525191801846318,21.7926331938982
qwen3_32b,few_shot_20,TAtracado,6273,42.18678840569096,-0.10105223012087805,22.86476647541523
qwen3_32b,few_shot_20,TAtracado,7777,38.884121842952595,0.06459522582538813,20.73763321487904
qwen3_32b,few_shot_20,TAtracado,8192,41.58042921002387,-0.0696284049399769,21.47513317244053
qwen3_32b,few_shot_20,TAtracado,9001,42.10960008701402,-0.09702676988221048,20.804849816298482
qwen3_32b,few_shot_20,TAtracado,10240,43.136802086743636,-0.1512002712923579,21.957066465878487
qwen3_32b,few_shot_20,TAtracado,11111,38.83475280475838,0.06696898229496595,18.353783202958105
qwen3_32b,few_shot_20,TAtracado,12345,41.17632611764889,-0.04893887516910045,20.519683161950113
qwen3_32b,few_shot_20,TAtracado,13579,44.93490651720505,-0.24917325274849755,25.448016606783867
qwen3_32b,few_shot_20,TAtracado,14641,38.351667281339054,0.09003751190911324,18.428383179593087
qwen3_32b,few_shot_20,TAtracado,15360,42.57320684468702,-0.12131523070703087,22.00543318626881
qwen3_32b,few_shot_20,TAtracado,16384,36.256428011842935,0.18674822142303815,18.53778322107792
deepseek_v3,few_shot_20,TOperacao,42,59.44003068114604,-1.6657907872425195,21.680583379030228
deepseek_v3,few_shot_20,TOperacao,137,37.444127296586224,-0.05787764301936038,17.519400064611435
deepseek_v3,few_shot_20,TOperacao,256,41.3325468406335,-0.28899830441462315,16.93821670513153
deepseek_v3,few_shot_20,TOperacao,512,34.770955949015466,0.08777646119156013,13.717666692256925
deepseek_v3,few_shot_20,TOperacao,1024,34.77953459436096,0.08732628043766344,16.034850054836273
deepseek_v3,few_shot_20,TOperacao,2048,44.436265319764495,-0.48985195532313863,20.47006670203209
deepseek_v3,few_shot_20,TOperacao,3141,47.21465444029569,-0.681983161974197,25.366566711091995
deepseek_v3,few_shot_20,TOperacao,4096,32.815559019833394,0.18749203547101123,13.81213338356018
deepseek_v3,few_shot_20,TOperacao,5000,38.12543834652964,-0.09672490116602939,17.76791669893265
deepseek_v3,few_shot_20,TOperacao,6273,32.745549320723605,0.190955195106296,15.901566717529297
deepseek_v3,few_shot_20,TOperacao,7777,36.4780042394803,-0.0039917678062841855,15.242433416938779
deepseek_v3,few_shot_20,TOperacao,8192,38.358276444388125,-0.11016155191479982,16.375550074386595
deepseek_v3,few_shot_20,TOperacao,9001,34.07383154460698,0.1239881986559831,14.22400005698204
deepseek_v3,few_shot_20,TOperacao,10240,38.91773415558527,-0.14278125251397977,15.199533403348923
deepseek_v3,few_shot_20,TOperacao,11111,34.09866484244276,0.12271084366950957,14.27323341026306
deepseek_v3,few_shot_20,TOperacao,12345,35.207859746461445,0.06470790463695952,14.682466718482972
deepseek_v3,few_shot_20,TOperacao,13579,35.12971995822889,0.06885484378974183,14.678833368539808
deepseek_v3,few_shot_20,TOperacao,14641,35.00063824722727,0.07568512813032158,14.964683384990689
deepseek_v3,few_shot_20,TOperacao,15360,35.92984537788835,0.025955699685407563,15.890750077247619
deepseek_v3,few_shot_20,TOperacao,16384,37.334033929157414,-0.05166603631015443,16.53986676473618
deepseek_v3,few_shot_20,TAtracado,42,43.820478108062055,-0.18798023422868604,22.850066527390478
deepseek_v3,few_shot_20,TAtracado,137,40.96525483764883,-0.038212643007948355,21.410183150982856
deepseek_v3,few_shot_20,TAtracado,256,38.790718135752925,0.0690837076662707,19.812283224177364
deepseek_v3,few_shot_20,TAtracado,512,39.719408807369966,0.023975896434209276,18.923499856591224
deepseek_v3,few_shot_20,TAtracado,1024,39.26765639677542,0.04605144213140577,20.232749839425086
deepseek_v3,few_shot_20,TAtracado,2048,42.01512051609016,-0.09210958498957544,23.44043323514462
deepseek_v3,few_shot_20,TAtracado,3141,59.326140049167826,-1.1774449139296466,31.54511652452946
deepseek_v3,few_shot_20,TAtracado,4096,77.34639757706563,-2.7011371087005043,26.456083131909374
deepseek_v3,few_shot_20,TAtracado,5000,39.576120990727055,0.031005210726449794,19.692116539788245
deepseek_v3,few_shot_20,TAtracado,6273,37.289787868831375,0.13972992277326457,20.983066549801823
deepseek_v3,few_shot_20,TAtracado,7777,39.21618288403505,0.04855074586739716,19.571049876618385
deepseek_v3,few_shot_20,TAtracado,8192,41.79563042448914,-0.0807288674874076,20.074916493058208
deepseek_v3,few_shot_20,TAtracado,9001,42.18792869830444,-0.1011117529592187,20.165016494250295
deepseek_v3,few_shot_20,TAtracado,10240,44.43829861691759,-0.22171480713171143,22.434183109498026
deepseek_v3,few_shot_20,TAtracado,11111,37.34658542035454,0.13710730419218453,18.05758324635029
deepseek_v3,few_shot_20,TAtracado,12345,41.29210507048481,-0.05484594822129241,20.24691647541523
deepseek_v3,few_shot_20,TAtracado,13579,46.06013180893963,-0.3125182306584744,25.110299920248984
deepseek_v3,few_shot_20,TAtracado,14641,36.04674623116208,0.19612757810456383,19.160283192944526
deepseek_v3,few_shot_20,TAtracado,15360,43.32474081098425,-0.16125323806690517,22.706399823689463
deepseek_v3,few_shot_20,TAtracado,16384,37.05943998079094,0.15032528207619056,18.946866545033455
