model,strategy,target,seed,rmse,r2,mae
qwen25_1p5b,base,TOperacao,42,217.0199475122231,-34.53590016651233,58.94173505245209
qwen25_1p5b,base,TOperacao,137,217.0199475122231,-34.53590016651233,58.94173505245209
qwen25_1p5b,base,TOperacao,256,217.0199475122231,-34.53590016651233,58.94173505245209
qwen25_1p5b,base,TOperacao,512,217.0199475122231,-34.53590016651233,58.94173505245209
qwen25_1p5b,base,TOperacao,1024,217.0199475122231,-34.53590016651233,58.94173505245209
qwen25_1p5b,base,TOperacao,2048,217.0199475122231,-34.53590016651233,58.94173505245209
qwen25_1p5b,base,TOperacao,3141,217.0199475122231,-34.53590016651233,58.94173505245209
qwen25_1p5b,base,TOperacao,4096,217.0199475122231,-34.53590016651233,58.94173505245209
qwen25_1p5b,base,TOperacao,5000,217.0199475122231,-34.53590016651233,58.94173505245209
qwen25_1p5b,base,TOperacao,6273,217.0199475122231,-34.53590016651233,58.94173505245209
qwen25_1p5b,base,TOperacao,7777,217.0199475122231,-34.53590016651233,58.94173505245209
qwen25_1p5b,base,TOperacao,8192,217.0199475122231,-34.53590016651233,58.94173505245209
qwen25_1p5b,base,TOperacao,9001,217.0199475122231,-34.53590016651233,58.94173505245209
qwen25_1p5b,base,TOperacao,10240,217.0199475122231,-34.53590016651233,58.94173505245209
qwen25_1p5b,base,TOperacao,11111,217.0199475122231,-34.53590016651233,58.94173505245209
qwen25_1p5b,base,TOperacao,12345,217.0199475122231,-34.53590016651233,58.94173505245209
qwen25_1p5b,base,TOperacao,13579,217.0199475122231,-34.53590016651233,58.94173505245209
qwen25_1p5b,base,TOperacao,14641,217.0199475122231,-34.53590016651233,58.94173505245209
qwen25_1p5b,base,TOperacao,15360,217.0199475122231,-34.53590016651233,58.94173505245209
qwen25_1p5b,base,TOperacao,16384,217.0199475122231,-34.53590016651233,58.94173505245209
qwen25_1p5b,base,TAtracado,42,217.73045036144043,-28.328735120941,64.20756814144612
qwen25_1p5b,base,TAtracado,137,217.73045036144043,-28.328735120941,64.20756814144612
qwen25_1p5b,base,TAtracado,256,217.73045036144043,-28.328735120941,64.20756814144612
qwen25_1p5b,base,TAtracado,512,217.73045036144043,-28.328735120941,64.20756814144612
qwen25_1p5b,base,TAtracado,1024,217.73045036144043,-28.328735120941,64.20756814144612
qwen25_1p5b,base,TAtracado,2048,217.73045036144043,-28.328735120941,64.20756814144612
qwen25_1p5b,base,TAtracado,3141,217.73045036144043,-28.328735120941,64.20756814144612
qwen25_1p5b,base,TAtracado,4096,217.73045036144043,-28.328735120941,64.20756814144612
qwen25_1p5b,base,TAtracado,5000,217.73045036144043,-28.328735120941,64.20756814144612
qwen25_1p5b,base,TAtracado,6273,217.73045036144043,-28.328735120941,64.20756814144612
qwen25_1p5b,base,TAtracado,7777,217.73045036144043,-28.328735120941,64.20756814144612
qwen25_1p5b,base,TAtracado,8192,217.73045036144043,-28.328735120941,64.20756814144612
