model,strategy,target,seed,rmse,r2,mae
qwen3_32b,zero_shot,TOperacao,42,36.2140362414691,0.010486125946044922,18.418333053588867
qwen3_32b,zero_shot,TOperacao,137,36.1050459190999,0.016433298587799072,18.65399932861328
qwen3_32b,zero_shot,TOperacao,256,36.71365988655483,-0.01700568199157715,18.905750274658203
qwen3_32b,zero_shot,TOperacao,512,36.83226801049421,-0.023587465286254883,19.066667556762695
qwen3_32b,zero_shot,TOperacao,1024,36.3588092859944,0.002558767795562744,18.599750518798828
qwen3_32b,zero_shot,TOperacao,2048,36.0371783392686,0.020127415657043457,18.938417434692383
qwen3_32b,zero_shot,TOperacao,3141,36.5077063381187,-0.0056275129318237305,18.39099884033203
qwen3_32b,zero_shot,TOperacao,4096,36.394687004939335,0.0005892515182495117,18.748584747314453
qwen3_32b,zero_shot,TOperacao,5000,36.65948508475927,-0.014006495475769043,18.88016700744629
qwen3_32b,zero_shot,TOperacao,6273,36.505910734491856,-0.005528569221496582,19.069499969482422
qwen3_32b,zero_shot,TOperacao,7777,36.748775954848995,-0.018952131271362305,18.940248489379883
qwen3_32b,zero_shot,TOperacao,8192,36.84640045598077,-0.02437305450439453,18.960248947143555
qwen3_32b,zero_shot,TOperacao,9001,36.47203518568627,-0.003663301467895508,18.687334060668945
qwen3_32b,zero_shot,TOperacao,10240,36.75472971265059,-0.01928234100341797,18.943750381469727
qwen3_32b,zero_shot,TOperacao,11111,36.72817199594968,-0.01780986785888672,18.938583374023438
qwen3_32b,zero_shot,TOperacao,12345,36.50920260701403,-0.00570988655090332,18.747081756591797
qwen3_32b,zero_shot,TOperacao,13579,35.942857956566804,0.025250017642974854,19.385583877563477
qwen3_32b,zero_shot,TOperacao,14641,36.66932178478694,-0.01455080509185791,18.776334762573242
qwen3_32b,zero_shot,TOperacao,15360,36.211887292020556,0.010603547096252441,18.46758270263672
qwen3_32b,zero_shot,TOperacao,16384,36.454509658121346,-0.0026988983154296875,18.54308319091797
qwen3_32b,zero_shot,TAtracado,42,39.92649954868242,0.013771772384643555,22.026416778564453
qwen3_32b,zero_shot,TAtracado,137,40.271595344629226,-0.003350496292114258,21.93658447265625
qwen3_32b,zero_shot,TAtracado,256,40.30107032736537,-0.004819631576538086,21.804584503173828
qwen3_32b,zero_shot,TAtracado,512,41.13243485700336,-0.04670381546020508,22.701749801635742
qwen3_32b,zero_shot,TAtracado,1024,41.14825876290211,-0.04750931262969971,22.222915649414062
qwen3_32b,zero_shot,TAtracado,2048,40.36308296942734,-0.007914304733276367,21.81624984741211
qwen3_32b,zero_shot,TAtracado,3141,40.59228550572294,-0.01939380168914795,22.336750030517578
qwen3_32b,zero_shot,TAtracado,4096,39.01106770290083,0.058477580547332764,21.568334579467773
qwen3_32b,zero_shot,TAtracado,5000,40.41899541588939,-0.01070868968963623,22.04458236694336
qwen3_32b,zero_shot,TAtracado,6273,41.06008156167694,-0.043024659156799316,22.666250228881836
qwen3_32b,zero_shot,TAtracado,7777,39.680531191808186,0.025885701179504395,21.512500762939453
qwen3_32b,zero_shot,TAtracado,8192,39.768545754720684,0.021559596061706543,21.808584213256836
qwen3_32b,zero_shot,TAtracado,9001,40.771950268670466,-0.02843761444091797,22.1320858001709
qwen3_32b,zero_shot,TAtracado,10240,40.93787273208178,-0.03682506084442139,22.123167037963867
qwen3_32b,zero_shot,TAtracado,11111,40.40243118071609,-0.009880423545837402,21.595834732055664
qwen3_32b,zero_shot,TAtracado,12345,40.86677603859965,-0.033226966857910156,21.960918426513672
qwen3_32b,zero_shot,TAtracado,13579,39.631702903105236,0.028281569480895996,22.10650062561035
qwen3_32b,zero_shot,TAtracado,14641,40.31484519583403,-0.005506634712219238,21.72308349609375
qwen3_32b,zero_shot,TAtracado,15360,40.684313671318705,-0.024021267890930176,22.15999984741211
qwen3_32b,zero_shot,TAtracado,16384,40.48757857114559,-0.014141559600830078,22.281665802001953
deepseek_v3,zero_shot,TOperacao,42,36.092052178682636,0.017141103744506836,17.03441619873047
deepseek_v3,zero_shot,TOperacao,137,36.9592341012576,-0.03065657615661621,17.0177001953125
deepseek_v3,zero_shot,TOperacao,256,36.49177354052297,-0.004749894142150879,16.757583618164062
deepseek_v3,zero_shot,TOperacao,512,36.08389847968464,0.01758509874343872,16.46558380126953
deepseek_v3,zero_shot,TOperacao,1024,36.949175594976914,-0.030095577239990234,17.560916900634766
deepseek_v3,zero_shot,TOperacao,2048,36.29037016615944,0.006310224533081055,16.74125099182129
deepseek_v3,zero_shot,TOperacao,3141,36.402514561582834,0.00015926361083984375,17.10711669921875
deepseek_v3,zero_shot,TOperacao,4096,36.94241057671724,-0.029718518257141113,17.027782440185547
deepseek_v3,zero_shot,TOperacao,5000,36.999394592281,-0.03289759159088135,17.130083084106445
deepseek_v3,zero_shot,TOperacao,6273,36.217416997148106,0.010301351547241211,16.124916076660156
deepseek_v3,zero_shot,TOperacao,7777,36.50288108010705,-0.005361676216125488,16.48324966430664
deepseek_v3,zero_shot,TOperacao,8192,36.4442867285978,-0.002136707305908203,16.807083129882812
deepseek_v3,zero_shot,TOperacao,9001,36.503056646413185,-0.0053713321685791016,16.552417755126953
deepseek_v3,zero_shot,TOperacao,10240,36.186034283248524,0.012015759944915771,16.412250518798828
deepseek_v3,zero_shot,TOperacao,11111,36.00783538321035,0.021722495555877686,16.583581924438477
