model,strategy,seed,train_s,infer_s,n_test
encoder_minilm,base,42,0.0,1.409,200
encoder_minilm,ft_100,42,34.804,0.844,200
encoder_minilm,ft_100,137,32.864,0.859,200
encoder_minilm,ft_100,256,32.782,0.838,200
encoder_minilm,ft_100,512,32.688,0.844,200
encoder_minilm,ft_100,1024,32.34,0.862,200
encoder_minilm,ft_100,2048,33.281,0.878,200
encoder_minilm,ft_100,3141,33.025,0.875,200
encoder_minilm,ft_100,4096,33.006,0.87,200
encoder_minilm,ft_100,5000,33.482,0.913,200
encoder_minilm,ft_100,6273,33.045,0.851,200
encoder_minilm,ft_100,7777,32.859,0.865,200
encoder_minilm,ft_100,8192,32.857,0.881,200
encoder_minilm,ft_100,9001,33.392,0.873,200
encoder_minilm,ft_100,10240,32.878,0.917,200
encoder_minilm,ft_100,11111,32.84,0.861,200
encoder_minilm,ft_100,12345,33.103,0.877,200
encoder_minilm,ft_100,13579,33.353,0.875,200
encoder_minilm,ft_100,14641,33.365,0.881,200
encoder_minilm,ft_100,15360,32.843,0.869,200
encoder_minilm,ft_100,16384,32.911,0.871,200
encoder_minilm,ft_500,42,80.143,0.878,200
encoder_minilm,ft_500,137,80.076,0.847,200
encoder_minilm,ft_500,256,80.036,0.871,200
encoder_minilm,ft_500,512,80.089,0.875,200
encoder_minilm,ft_500,1024,80.481,0.884,200
encoder_minilm,ft_500,2048,80.15,0.871,200
encoder_minilm,ft_500,3141,81.21,0.982,200
encoder_minilm,ft_500,4096,81.423,0.961,200
encoder_minilm,ft_500,5000,80.251,0.872,200
encoder_minilm,ft_500,6273,81.407,0.951,200
encoder_minilm,ft_500,7777,80.003,0.942,200
encoder_minilm,ft_500,8192,79.204,0.85,200
encoder_minilm,ft_500,9001,79.5,0.922,200
encoder_minilm,ft_500,10240,79.068,0.856,200
encoder_minilm,ft_500,11111,79.222,0.893,200
encoder_minilm,ft_500,12345,79.307,0.86,200
encoder_minilm,ft_500,13579,79.109,0.868,200
encoder_minilm,ft_500,14641,79.275,0.873,200
encoder_minilm,ft_500,15360,79.348,0.886,200
encoder_minilm,ft_500,16384,79.128,0.898,200
encoder_minilm,ft_1500,42,141.667,0.917,200
encoder_minilm,ft_1500,137,141.237,0.929,200
encoder_minilm,ft_1500,256,141.895,0.907,200
encoder_minilm,ft_1500,512,143.499,0.902,200
encoder_minilm,ft_1500,1024,143.758,0.965,200
encoder_minilm,ft_1500,2048,143.72,0.991,200
encoder_minilm,ft_1500,3141,143.723,0.975,200
encoder_minilm,ft_1500,4096,143.772,0.979,200
encoder_minilm,ft_1500,5000,143.657,0.958,200
encoder_minilm,ft_1500,6273,143.597,0.907,200
encoder_minilm,ft_1500,7777,143.373,0.861,200
encoder_minilm,ft_1500,8192,143.319,0.935,200
encoder_minilm,ft_1500,9001,143.272,0.946,200
encoder_minilm,ft_1500,10240,143.405,0.917,200
encoder_minilm,ft_1500,11111,143.5,0.912,200
encoder_minilm,ft_1500,12345,143.32,0.905,200
encoder_minilm,ft_1500,13579,143.576,0.951,200
encoder_minilm,ft_1500,14641,143.336,0.9,200
encoder_minilm,ft_1500,15360,143.43,0.875,200
encoder_minilm,ft_1500,16384,143.652,0.932,200
encoder_minilm,ft_3000,42,191.891,0.932,200
encoder_minilm,ft_3000,137,191.043,0.94,200
encoder_minilm,ft_3000,256,190.586,0.95,200
encoder_minilm,ft_3000,512,190.43,0.962,200
encoder_minilm,ft_3000,1024,190.698,0.919,200
encoder_minilm,ft_3000,2048,190.827,0.913,200
encoder_minilm,ft_3000,3141,191.696,0.928,200
encoder_minilm,ft_3000,4096,191.042,0.94,200
encoder_minilm,ft_3000,5000,190.509,0.916,200
encoder_minilm,ft_3000,6273,191.175,0.941,200
encoder_minilm,ft_3000,7777,190.7,0.944,200
encoder_minilm,ft_3000,8192,190.628,0.986,200
encoder_minilm,ft_3000,9001,190.641,0.939,200
encoder_minilm,ft_3000,10240,190.799,0.926,200
encoder_minilm,ft_3000,11111,190.605,0.944,200
encoder_minilm,ft_3000,12345,191.053,0.938,200
encoder_minilm,ft_3000,13579,190.668,0.958,200
encoder_minilm,ft_3000,14641,190.696,0.903,200
encoder_minilm,ft_3000,15360,190.672,0.946,200
encoder_minilm,ft_3000,16384,191.057,0.935,200
encoder_minilm,ft_6000,42,287.782,0.969,200
encoder_minilm,ft_6000,137,286.988,0.903,200
encoder_minilm,ft_6000,256,286.715,0.892,200
encoder_minilm,ft_6000,512,286.315,0.907,200
encoder_minilm,ft_6000,1024,286.427,0.871,200
encoder_minilm,ft_6000,2048,286.312,0.897,200
encoder_minilm,ft_6000,3141,286.216,0.906,200
encoder_minilm,ft_6000,4096,285.885,0.935,200
encoder_minilm,ft_6000,5000,286.099,0.959,200
encoder_minilm,ft_6000,6273,306.761,0.901,200
encoder_minilm,ft_6000,7777,285.949,0.897,200
encoder_minilm,ft_6000,8192,286.167,0.902,200
encoder_minilm,ft_6000,9001,286.025,0.904,200
encoder_minilm,ft_6000,10240,285.968,0.889,200
encoder_minilm,ft_6000,11111,285.952,0.899,200
encoder_minilm,ft_6000,12345,286.165,0.939,200
encoder_minilm,ft_6000,13579,285.506,0.932,200
encoder_minilm,ft_6000,14641,285.941,0.907,200
encoder_minilm,ft_6000,15360,286.326,0.892,200
encoder_minilm,ft_6000,16384,285.869,0.94,200
encoder_minilm,ft_12000,42,380.932,0.871,200
encoder_minilm,ft_12000,137,382.562,0.986,200
encoder_minilm,ft_12000,256,381.005,0.916,200
encoder_minilm,ft_12000,512,380.91,0.899,200
encoder_minilm,ft_12000,1024,380.472,0.912,200
encoder_minilm,ft_12000,2048,381.502,0.897,200
encoder_minilm,ft_12000,3141,381.012,0.899,200
encoder_minilm,ft_12000,4096,382.646,0.892,200
encoder_minilm,ft_12000,5000,378.014,0.886,200
encoder_minilm,ft_12000,6273,375.562,0.888,200
encoder_minilm,ft_12000,7777,377.726,0.876,200
encoder_minilm,ft_12000,8192,377.229,0.913,200
encoder_minilm,ft_12000,9001,380.937,0.94,200
encoder_minilm,ft_12000,10240,379.528,0.917,200
encoder_minilm,ft_12000,11111,378.222,0.903,200
encoder_minilm,ft_12000,12345,379.774,0.892,200
encoder_minilm,ft_12000,13579,380.921,0.862,200
encoder_minilm,ft_12000,14641,379.408,0.884,200
encoder_minilm,ft_12000,15360,378.573,0.898,200
encoder_minilm,ft_12000,16384,380.393,0.866,200
