model,strategy,target,seed,train_s,infer_s,n_test
qwen25_1p5b,ft_1500,TOperacao,2048,620.54,21.858,200
qwen25_1p5b,ft_1500,TOperacao,3141,650.601,24.244,200
qwen25_1p5b,ft_1500,TOperacao,4096,656.954,22.904,200
qwen25_1p5b,ft_1500,TOperacao,5000,688.167,31.733,200
qwen25_1p5b,ft_1500,TOperacao,6273,655.868,23.341,200
qwen25_1p5b,ft_1500,TOperacao,7777,640.095,20.618,200
qwen25_1p5b,ft_1500,TOperacao,8192,668.751,25.182,200
qwen25_1p5b,ft_1500,TOperacao,9001,675.509,331.156,200
qwen25_1p5b,ft_1500,TOperacao,10240,2269.163,329.028,200
qwen25_1p5b,ft_1500,TOperacao,11111,671.947,21.944,200
qwen25_1p5b,ft_1500,TOperacao,12345,630.231,20.203,200
qwen25_1p5b,ft_1500,TOperacao,13579,652.043,23.341,200
qwen25_1p5b,ft_1500,TOperacao,14641,656.227,22.518,200
qwen25_1p5b,ft_1500,TOperacao,15360,664.724,136.813,200
qwen25_1p5b,ft_1500,TOperacao,16384,652.311,30.79,200
qwen25_1p5b,ft_1500,TAtracado,42,624.271,20.578,200
qwen25_1p5b,ft_1500,TAtracado,137,652.265,22.288,200
qwen25_1p5b,ft_1500,TAtracado,256,653.809,21.694,200
qwen25_1p5b,ft_1500,TAtracado,512,2127.611,18.561,200
qwen25_1p5b,ft_1500,TAtracado,1024,1041.77,21.172,200
qwen25_1p5b,ft_1500,TAtracado,2048,644.709,21.708,200
qwen25_1p5b,ft_1500,TAtracado,3141,668.432,22.993,200
qwen25_1p5b,ft_1500,TAtracado,4096,665.819,22.945,200
qwen25_1p5b,ft_1500,TAtracado,5000,1626.939,24.254,200
qwen25_1p5b,ft_1500,TAtracado,6273,1150.16,18.341,200
qwen25_1p5b,ft_1500,TAtracado,7777,668.563,21.304,200
qwen25_1p5b,ft_1500,TAtracado,8192,661.104,24.361,200
qwen25_1p5b,ft_1500,TAtracado,9001,654.548,23.077,200
qwen25_1p5b,ft_1500,TAtracado,10240,1791.541,19.707,200
qwen25_1p5b,ft_1500,TAtracado,11111,691.755,73.04,200
qwen25_1p5b,ft_1500,TAtracado,12345,618.377,21.674,200
qwen25_1p5b,ft_1500,TAtracado,13579,653.08,22.201,200
qwen25_1p5b,ft_1500,TAtracado,14641,657.884,21.512,200
qwen25_1p5b,ft_1500,TAtracado,15360,9169.91,24.175,200
qwen25_1p5b,ft_1500,TAtracado,16384,635.539,19.61,200
qwen25_1p5b,ft_100,TOperacao,42,155.197,18.614,200
qwen25_1p5b,ft_100,TOperacao,137,154.673,19.684,200
qwen25_1p5b,ft_500,TOperacao,42,386.551,56.824,200
qwen25_1p5b,ft_500,TOperacao,137,1552.099,19.548,200
qwen25_1p5b,ft_3000,TOperacao,42,574.734,17.753,200
qwen25_1p5b,ft_3000,TOperacao,137,564.754,17.391,200
qwen25_1p5b,ft_3000,TOperacao,256,556.046,16.983,200
qwen25_1p5b,ft_3000,TOperacao,512,639.869,17.398,200
qwen25_1p5b,ft_3000,TOperacao,1024,554.743,16.954,200
qwen25_1p5b,ft_3000,TOperacao,2048,551.167,18.0,200
qwen25_1p5b,ft_3000,TOperacao,3141,551.456,17.949,200
qwen25_1p5b,ft_3000,TOperacao,4096,550.444,22.187,200
qwen25_1p5b,ft_3000,TOperacao,5000,640.859,16.807,200
qwen25_1p5b,ft_3000,TOperacao,6273,622.583,17.496,200
qwen25_1p5b,ft_3000,TOperacao,7777,550.094,18.618,200
qwen25_1p5b,ft_3000,TOperacao,8192,550.537,18.328,200
qwen25_1p5b,ft_3000,TOperacao,9001,553.634,20.351,200
qwen25_1p5b,ft_3000,TOperacao,10240,556.908,17.017,200
qwen25_1p5b,ft_3000,TOperacao,11111,582.091,17.62,200
qwen25_1p5b,ft_3000,TOperacao,12345,591.63,17.149,200
qwen25_1p5b,ft_3000,TOperacao,13579,554.168,21.389,200
qwen25_1p5b,ft_3000,TOperacao,14641,564.325,19.007,200
qwen25_1p5b,ft_3000,TOperacao,15360,950.98,20.591,200
qwen25_1p5b,ft_3000,TOperacao,16384,568.229,17.494,200
qwen25_1p5b,ft_3000,TAtracado,42,603.939,20.244,200
qwen25_1p5b,ft_3000,TAtracado,137,573.983,21.209,200
qwen25_1p5b,ft_3000,TAtracado,256,576.164,18.306,200
qwen25_1p5b,ft_3000,TAtracado,512,572.977,19.574,200
qwen25_1p5b,ft_3000,TAtracado,1024,582.056,19.659,200
qwen25_1p5b,ft_3000,TAtracado,2048,660.197,18.529,200
qwen25_1p5b,ft_3000,TAtracado,3141,844.591,17.944,200
qwen25_1p5b,ft_3000,TAtracado,4096,671.347,18.308,200
qwen25_1p5b,ft_3000,TAtracado,5000,573.855,19.517,200
qwen25_1p5b,ft_3000,TAtracado,6273,579.576,19.594,200
qwen25_1p5b,ft_3000,TAtracado,7777,579.34,22.568,200
qwen25_1p5b,ft_3000,TAtracado,8192,576.995,23.228,200
qwen25_1p5b,ft_3000,TAtracado,9001,577.574,22.958,200
