model,target,size,seed,rmse,r2,mae,train_s,infer_s
mlp,TOperacao,100,42,57.24309954802358,-1.4723747293032603,22.599027138650417,1.137,0.00063
mlp,TOperacao,100,137,38.59663851869139,-0.12400172532518727,22.708451986014843,0.869,0.00033
mlp,TOperacao,100,256,35.48226736557007,0.05007188642685756,16.989580613970755,0.833,0.00037
mlp,TOperacao,100,512,31.520803603301818,0.2503430443075064,15.833481489866973,1.229,0.00033
mlp,TOperacao,100,1024,192.39841378285954,-26.93000331837171,29.215573800504206,0.803,0.00048
mlp,TOperacao,100,2048,42.29859310069679,-0.34995675965528217,29.08230036497116,0.524,0.00061
mlp,TOperacao,100,3141,35.16985792730138,0.06672584152125616,18.1477567704767,0.641,0.00059
mlp,TOperacao,100,4096,37.424210486299266,-0.056752556319856096,19.655113098174333,0.165,0.00027
mlp,TOperacao,100,5000,41.35990304433195,-0.2907051321859144,20.397103968188166,0.562,0.0004
mlp,TOperacao,100,6273,37.6355977547276,-0.06872421400549267,20.915337159633637,0.149,0.00062
mlp,TOperacao,100,7777,36.07543236949241,0.018046092517059464,22.902910383343695,0.322,0.00032
mlp,TOperacao,100,8192,40.757387418945854,-0.2533740192041398,27.10007897719741,1.004,0.0004
mlp,TOperacao,100,9001,38.73154125818496,-0.1318726647384918,21.817850095108152,0.352,0.00027
mlp,TOperacao,100,10240,34.30976991572467,0.11181461178841512,15.672042446509003,0.542,0.00069
mlp,TOperacao,100,11111,40.003474887070645,-0.2074341321961537,22.722098678052426,0.172,0.00026
mlp,TOperacao,100,12345,132.72657605611084,-12.291799911969665,33.845818615108726,0.162,0.00052
mlp,TOperacao,100,13579,38.2614696345969,-0.10456507612019106,22.510951494723557,0.155,0.00042
mlp,TOperacao,100,14641,42.02513402831293,-0.3325583263218954,27.953007860779763,0.423,0.00032
mlp,TOperacao,100,15360,33.681326630130755,0.14405395226702422,20.259505659639835,0.306,0.00025
mlp,TOperacao,100,16384,36.70253396747655,-0.016389363304215587,20.825337000340223,0.243,0.00078
mlp,TOperacao,500,42,32.983913750890764,0.17913377786924078,16.65218990728259,0.999,0.00039
mlp,TOperacao,500,137,37.60897845066073,-0.06721295148990625,17.72675394304097,0.869,0.0004
mlp,TOperacao,500,256,34.44586477021634,0.10475439536793674,15.74240590043366,1.06,0.0004
mlp,TOperacao,500,512,30.79291437747229,0.2845659569234016,16.124393901228906,1.175,0.00042
mlp,TOperacao,500,1024,33.063897246011976,0.17514787400824094,14.653420521318912,0.939,0.00025
mlp,TOperacao,500,2048,35.71124053499237,0.03777222941469094,18.440634711682797,0.511,0.00031
mlp,TOperacao,500,3141,37.93850347606988,-0.08599644670391293,20.841351606994866,0.278,0.0004
mlp,TOperacao,500,4096,373.30242828390095,-104.14524633812078,42.201174771934745,0.904,0.0003
mlp,TOperacao,500,5000,36.68065203219438,-0.015177788299002737,22.470577007979156,0.455,0.00031
mlp,TOperacao,500,6273,36.370171205496575,0.0019352811776065515,21.87428440220654,0.183,0.00029
mlp,TOperacao,500,7777,91.55469369489724,-5.324544328670816,24.401638063266873,0.614,0.00033
