model,target,size,seed,rmse,r2,mae,train_s,infer_s
knn,TOperacao,100,42,34.17748474559567,0.1186504052251643,14.754675071239472,0.0,0.06993
svm,TOperacao,100,42,40.32090391566859,-0.2266722255810938,20.468553461506144,0.003,0.00012
knn,TOperacao,100,137,34.30171452125861,0.1122316267538316,16.009887636899947,0.0,0.00472
svm,TOperacao,100,137,40.70452272240078,-0.2501247301629012,19.829356961094753,0.002,9e-05
knn,TOperacao,100,256,35.142975275694795,0.068152022744952,15.547391768693924,0.0,0.00137
svm,TOperacao,100,256,40.382622189329346,-0.2304303771632312,19.795323793351784,0.002,0.00012
knn,TOperacao,100,512,34.95465581935528,0.0781121880462303,15.343283332586289,0.0,0.00134
svm,TOperacao,100,512,40.53168826811125,-0.2395310222496598,20.16847741316526,0.002,9e-05
knn,TOperacao,100,1024,35.00471848991482,0.0754696092703627,15.671233530044557,0.0,0.00208
svm,TOperacao,100,1024,41.13977488809823,-0.2770027567719717,20.434721613280896,0.003,0.00014
knn,TOperacao,100,2048,34.86164015724799,0.0830120167646361,15.749725044965745,0.0,0.00194
svm,TOperacao,100,2048,40.43944052529544,-0.2338952432437946,20.243354142564964,0.002,0.00013
knn,TOperacao,100,3141,34.81891505244606,0.0852582908770129,15.131933298110962,0.0,0.00202
svm,TOperacao,100,3141,39.537777120585034,-0.1794852405114599,19.41895938379021,0.002,0.00011
knn,TOperacao,100,4096,36.19949190650061,0.0112808119178927,15.66539999485016,0.0,0.00156
svm,TOperacao,100,4096,40.00985917777832,-0.2078195599948018,19.491030001933588,0.002,0.00013
knn,TOperacao,100,5000,35.785243329830955,0.0337801348629652,16.46410859107971,0.0,0.0019
svm,TOperacao,100,5000,39.86699252625013,-0.1992092295707803,19.822844029976235,0.002,0.00011
knn,TOperacao,100,6273,36.55911696605084,-0.0084616971687161,16.04700418829918,0.0,0.00154
svm,TOperacao,100,6273,40.34723274307245,-0.2282747385607231,19.99181289918192,0.002,0.00012
knn,TOperacao,100,7777,33.920444807898846,0.1318573550536566,16.072291699647902,0.0,0.00153
svm,TOperacao,100,7777,40.20875102191058,-0.2198577202634839,20.355212214088706,0.002,0.0001
knn,TOperacao,100,8192,34.17302358604619,0.118880473913975,17.96392528295517,0.0,0.00174
svm,TOperacao,100,8192,40.27536396140061,-0.2239028903248059,19.75499009247955,0.002,0.00013
knn,TOperacao,100,9001,36.41559144286061,-0.0005591059076666,21.637133479118347,0.0,0.00159
svm,TOperacao,100,9001,40.124567794503434,-0.2147551464731807,19.939792997737285,0.003,0.00014
knn,TOperacao,100,10240,36.34381833603538,0.0033811000756842,16.899633322954177,0.0,0.00203
svm,TOperacao,100,10240,40.109398616295856,-0.213836838555834,19.743864110816983,0.002,0.00011
knn,TOperacao,100,11111,35.53264435846601,0.0473725948191197,16.01916675567627,0.0,0.00152
svm,TOperacao,100,11111,40.372358680516136,-0.2298050127107433,19.709527532587664,0.002,0.00011
knn,TOperacao,100,12345,35.198064393009446,0.0652282567563665,15.473075025081634,0.0,0.00158
svm,TOperacao,100,12345,40.36767184464534,-0.2295194926237256,20.2272940307368,0.002,0.00012
knn,TOperacao,100,13579,34.23041665410461,0.1159183351557089,15.88979169368744,0.0,0.00199
svm,TOperacao,100,13579,39.87054146415472,-0.1994227449754024,19.377456546907943,0.003,0.00014
knn,TOperacao,100,14641,36.574906535207546,-0.0093329771980268,18.282841665744783,0.0,0.00151
svm,TOperacao,100,14641,40.05812733552215,-0.2107355608271635,19.889841220948984,0.002,0.00012
knn,TOperacao,100,15360,34.767103927892826,0.0879785672081604,15.994108480215072,0.0,0.00146
svm,TOperacao,100,15360,39.84071703254764,-0.1976290034821533,19.039475918739523,0.002,0.0001
knn,TOperacao,100,16384,35.41366365063517,0.0537416404618406,16.073049901723863,0.0,0.00172
svm,TOperacao,100,16384,39.75124740950585,-0.1922560529231001,19.27255860748048,0.003,0.00013
knn,TOperacao,500,42,32.897371863774154,0.1834356395222965,15.398741711378095,0.0,0.00356
svm,TOperacao,500,42,36.73755779755534,-0.0183300921498674,15.70690624907838,0.011,0.00016
knn,TOperacao,500,137,31.715580619262717,0.2410496845301049,13.522133412957192,0.0,0.00251
svm,TOperacao,500,137,35.87193209456669,0.0290931827896772,16.192528049743135,0.011,0.00013
knn,TOperacao,500,256,33.56572920163898,0.149919241877263,14.654483260512352,0.0,0.00275
svm,TOperacao,500,256,36.94776271211771,-0.0300167910630664,15.79229464958988,0.011,0.00013
knn,TOperacao,500,512,33.38493279514599,0.1590522255802728,14.1424669778347,0.0,0.00261
svm,TOperacao,500,512,36.89413951151291,-0.0270291830131681,16.301069618028656,0.01,0.00012
knn,TOperacao,500,1024,32.54410176017707,0.2008789121613883,14.776091742515565,0.0,0.00322
svm,TOperacao,500,1024,36.37981185491095,0.0014060965749584,15.43480125968436,0.011,0.00013
knn,TOperacao,500,2048,32.370476904951715,0.2093828906339103,14.34995005786419,0.0,0.00315
svm,TOperacao,500,2048,36.407584976716606,-0.000119181049579,15.88997182461927,0.011,0.00014
knn,TOperacao,500,3141,34.53938253916031,0.0998867562143507,14.575087661147116,0.0,0.00307
svm,TOperacao,500,3141,36.65505753018249,-0.0137615700208089,16.238166681662495,0.011,0.00015
knn,TOperacao,500,4096,33.117723310407136,0.1724600672794782,14.990291719436646,0.0,0.00276
svm,TOperacao,500,4096,38.97156098990914,-0.1459445834266288,16.411250394538705,0.011,0.00016
knn,TOperacao,500,5000,34.198271757627076,0.1175779918430759,14.315187604427338,0.0,0.00263
svm,TOperacao,500,5000,36.97203354044695,-0.0313704628344204,16.199181137073637,0.011,0.00016
knn,TOperacao,500,6273,32.29976039529341,0.2128334800396754,14.15248338162899,0.0,0.00304
svm,TOperacao,500,6273,37.1287121120979,-0.0401303839388575,15.993296601081992,0.011,0.00012
knn,TOperacao,500,7777,32.96276038577916,0.1801863221510868,14.091200079321862,0.0,0.00302
svm,TOperacao,500,7777,36.74463700176605,-0.0187225875513208,16.292824745757834,0.01,0.00013
knn,TOperacao,500,8192,31.75889916660114,0.238975052648703,13.69673344016075,0.0,0.00349
svm,TOperacao,500,8192,36.30890340954264,0.0052950520390633,15.381518428546189,0.011,0.00019
knn,TOperacao,500,9001,33.38811238152557,0.1588920339491794,14.151616734862328,0.0,0.00244
svm,TOperacao,500,9001,36.7085449833625,-0.0167223121362367,16.326380047685593,0.011,0.00014
knn,TOperacao,500,10240,34.09157490117748,0.1230756252222543,15.63209172964096,0.0,0.00291
svm,TOperacao,500,10240,36.70360242180631,-0.0164485407672092,16.242909360437558,0.011,0.00014
knn,TOperacao,500,11111,32.60099051770596,0.1980826610790002,14.413350247740745,0.0,0.00277
svm,TOperacao,500,11111,37.19356048770566,-0.0437669049037503,15.531219875419984,0.011,0.00013
knn,TOperacao,500,12345,31.275472154789163,0.2619670315290948,14.001462420225144,0.0,0.00289
svm,TOperacao,500,12345,36.91928517598095,-0.0284296293911849,16.40631518006043,0.011,0.00012
knn,TOperacao,500,13579,32.800765745778115,0.1882244285258213,13.764366747140883,0.0,0.00288
svm,TOperacao,500,13579,37.404421176273935,-0.0556352648864804,16.15728771584398,0.011,0.00015
knn,TOperacao,500,14641,32.47663099387081,0.2041889694861816,14.701624985337258,0.0,0.00267
svm,TOperacao,500,14641,37.22461408482955,-0.0455105534021349,16.04157104777197,0.01,0.00012
knn,TOperacao,500,15360,32.71565990998142,0.1924314773275699,14.150674961209296,0.0,0.00328
svm,TOperacao,500,15360,36.25746997158698,0.008111157966632,15.69448226172996,0.011,0.00015
knn,TOperacao,500,16384,31.66599098442077,0.2434211779662557,15.83575848221779,0.0,0.00258
svm,TOperacao,500,16384,36.34521498909946,0.003304500662127,15.685790157732812,0.011,0.00021
knn,TOperacao,1500,42,31.542511011564155,0.2493101573802629,13.626349954605102,0.0,0.00499
svm,TOperacao,1500,42,34.00576351242325,0.1274846555006348,13.43850683893953,0.032,0.00016
knn,TOperacao,1500,137,32.211536802602474,0.2171277419324924,13.943166707754136,0.0,0.00507
svm,TOperacao,1500,137,33.906592549328046,0.1325662656211755,13.491749809290786,0.032,0.00017
knn,TOperacao,1500,256,32.44648251155036,0.2056658073093332,13.111883469820022,0.0,0.00424
svm,TOperacao,1500,256,33.235024694502314,0.1665874721119282,12.824295218216376,0.031,0.00015
knn,TOperacao,1500,512,31.54178483023092,0.2493447222045666,12.458616849184036,0.0,0.00373
svm,TOperacao,1500,512,33.3111581212483,0.1627648044785372,12.63762388109244,0.032,0.00016
