model,target,size,seed,rmse,r2,mae,train_s,infer_s,best_iter
xgboost,TOperacao,100,42,36.52895956413615,-0.006798635056815661,18.95910488039255,0.751,0.00076,222
xgboost,TOperacao,100,137,34.35287099701102,0.10958167370011396,20.02863758325577,0.282,0.0005,51
xgboost,TOperacao,100,256,34.484893528515045,0.10272453668642045,15.367808270156383,0.503,0.00056,129
xgboost,TOperacao,100,512,32.38400045622386,0.20872215372494352,15.462505019903183,0.239,0.00054,38
xgboost,TOperacao,100,1024,33.779008674077666,0.13908195081512698,16.346721333223396,7.265,0.00156,2992
xgboost,TOperacao,100,2048,34.480376099407145,0.10295960267562221,17.07944277882576,0.29,0.00058,54
xgboost,TOperacao,100,3141,33.457611608711886,0.1553867627891773,15.321968540549278,0.406,0.00058,96
xgboost,TOperacao,100,4096,34.18930984219964,0.11804042194853892,14.678581614494323,0.253,0.00052,43
xgboost,TOperacao,100,5000,34.36380894534644,0.10901456534084619,16.69135819733143,0.44,0.00058,114
xgboost,TOperacao,100,6273,34.62689070317159,0.09531996705949786,16.583269731998442,0.285,0.00056,52
xgboost,TOperacao,100,7777,32.48380215924366,0.20383748459380258,16.64619531559758,1.917,0.00076,681
xgboost,TOperacao,100,8192,34.06301494584607,0.12454428312087262,20.756942541599273,0.262,0.00052,43
xgboost,TOperacao,100,9001,35.66053735881813,0.04050265090626759,17.910163383483887,0.301,0.00059,58
xgboost,TOperacao,100,10240,32.43985518269567,0.2059902662878751,14.824507259726524,0.448,0.00053,105
xgboost,TOperacao,100,11111,33.532051696218545,0.1516242092980693,14.161439430490136,0.752,0.00062,226
xgboost,TOperacao,100,12345,35.81512441436843,0.03216585205352118,18.943527512550354,0.171,0.00054,14
xgboost,TOperacao,100,13579,33.00947401708761,0.1778610551146682,16.11320032596588,0.477,0.00057,127
xgboost,TOperacao,100,14641,36.80797937080455,-0.02223787174113756,19.950321318730712,0.453,0.00059,117
xgboost,TOperacao,100,15360,30.957668282803738,0.2768897832755718,16.596115083694457,0.212,0.00054,29
xgboost,TOperacao,100,16384,34.377227914921484,0.10831857492422592,17.322933482453227,0.489,0.00056,133
xgboost,TOperacao,500,42,29.30687777754726,0.35195208279556045,14.045057735443116,1.093,0.00065,109
xgboost,TOperacao,500,137,30.236483932205033,0.31018824948023893,14.11292519673705,0.983,0.00061,96
xgboost,TOperacao,500,256,31.726965159343216,0.24050472518416888,13.778801149129867,0.799,0.00059,62
xgboost,TOperacao,500,512,30.16827523597778,0.31329695023298154,13.548349117040635,1.224,0.00066,137
xgboost,TOperacao,500,1024,32.34841650653745,0.2104601305748771,14.478237271308899,0.853,0.00062,74
xgboost,TOperacao,500,2048,32.040975971178845,0.22539644571196205,12.953907759189606,0.785,0.00061,58
xgboost,TOperacao,500,3141,33.52787028978407,0.15183577898332035,15.22185877263546,1.133,0.00061,120
xgboost,TOperacao,500,4096,33.79464002653326,0.1382849808802714,16.027364245057107,1.182,0.00066,133
xgboost,TOperacao,500,5000,30.038227099926267,0.31920461091315433,14.43742028772831,1.343,0.00065,159
xgboost,TOperacao,500,6273,29.803496145610286,0.3298030636786262,12.515567753314972,1.267,0.00066,140
xgboost,TOperacao,500,7777,31.026953240271705,0.27364944074307307,13.306062717437744,1.285,0.00064,143
xgboost,TOperacao,500,8192,30.963912757535088,0.2765980365690456,13.577257018387318,2.243,0.00077,308
xgboost,TOperacao,500,9001,31.54712629551565,0.2490904602068459,14.070137672424316,0.712,0.00076,48
xgboost,TOperacao,500,10240,29.40868976589478,0.3474416294485262,13.632577931284905,1.268,0.00064,138
xgboost,TOperacao,500,11111,29.615204797166687,0.33824460073431784,13.140302783250808,0.771,0.00059,62
xgboost,TOperacao,500,12345,29.751565443745907,0.33213658021748405,13.333379806429148,1.954,0.00075,238
xgboost,TOperacao,500,13579,29.1496500780462,0.35888682129351146,12.148448069691659,1.093,0.00065,115
xgboost,TOperacao,500,14641,31.82987116511873,0.23556990871177086,13.95916833639145,1.185,0.00064,123
xgboost,TOperacao,500,15360,32.57749305862348,0.19923822285311377,13.886006807982922,3.063,0.00088,430
xgboost,TOperacao,500,16384,33.89701668046033,0.13305615611856725,15.962623103857041,1.03,0.0006,101
xgboost,TOperacao,1500,42,32.81168466146955,0.1876838811254149,14.137232916355133,3.783,0.00075,370
xgboost,TOperacao,1500,137,26.3707652642079,0.475297082759667,13.096406427621842,1.339,0.00065,58
xgboost,TOperacao,1500,256,25.938853027630866,0.49234396935992897,11.964047772884369,1.566,0.00063,92
xgboost,TOperacao,1500,512,28.475442876680045,0.38820068328400203,11.745985062122346,2.477,0.00066,141
xgboost,TOperacao,1500,1024,27.568045717749357,0.4265705764036227,12.570749803557993,2.438,0.00063,154
xgboost,TOperacao,1500,2048,26.001454839656684,0.4898906197746543,11.889512751102448,2.724,0.00066,195
xgboost,TOperacao,1500,3141,28.56544983984248,0.3843269435746094,12.837578408718109,2.377,0.00067,180
xgboost,TOperacao,1500,4096,25.587736773601264,0.5059945255736011,11.27344836473465,2.252,0.00066,138
xgboost,TOperacao,1500,5000,27.62866989204311,0.4240457757966488,12.644697383642196,2.641,0.00068,185
xgboost,TOperacao,1500,6273,30.922913326875065,0.2785124866600416,12.502233606576919,3.006,0.00073,220
xgboost,TOperacao,1500,7777,26.534793276765956,0.4687494043708086,11.859444555044174,2.145,0.00068,133
xgboost,TOperacao,1500,8192,24.902007082718722,0.5321175907752593,11.675913238525391,1.415,0.00056,64
xgboost,TOperacao,1500,9001,29.7246571609612,0.3333441086744765,12.513365863114595,4.551,0.00086,400
